Date,Time,Open,High,Low,Close,Vol,OI,HA 1,HA 2,State
25.04.1998,00:00,111.75,112.47,110.34,110.75,10989400,0,112.48,111.33,-1.00
28.04.1998,00:00,109.38,110.66,107.63,108.81,14453000,0,111.90,109.12,-1.00
29.04.1998,00:00,109.78,109.81,108.12,108.56,6512200,0,110.51,109.07,-1.00
30.04.1998,00:00,109.03,109.97,108.44,109.38,7671100,0,109.79,109.21,-1.00
1.05.1998,00:00,110.56,111.97,110.41,111.41,8610800,0,109.50,111.09,0.00
2.05.1998,00:00,111.75,112.47,111.31,112.47,3964300,0,110.29,112.00,1.00
5.05.1998,00:00,112.72,113.31,112.16,112.41,4512200,0,111.15,112.65,1.00
6.05.1998,00:00,112.13,112.13,110.81,111.13,2341200,0,111.90,111.55,-1.00
7.05.1998,00:00,112.13,112.13,110.38,110.38,5442900,0,111.72,111.26,-1.00
8.05.1998,00:00,110.50,110.56,109.41,109.44,6880300,0,111.49,109.98,-1.00
9.05.1998,00:00,110.00,111.38,110.00,111.13,7950900,0,110.73,110.63,-1.00
12.05.1998,00:00,111.56,112.22,110.38,110.75,6295100,0,110.68,111.23,1.00
13.05.1998,00:00,110.81,111.94,110.25,111.94,6033200,0,110.95,111.24,1.00
14.05.1998,00:00,112.06,112.56,111.59,112.13,4439600,0,111.09,112.08,1.00
15.05.1998,00:00,111.53,112.69,111.34,111.66,4186900,0,111.59,111.81,1.00
16.05.1998,00:00,112.00,112.22,110.81,111.03,6716100,0,111.70,111.51,0.00
19.05.1998,00:00,110.72,111.59,109.83,110.69,4809300,0,111.61,110.71,-1.00
20.05.1998,00:00,111.00,111.69,110.78,111.25,5889200,0,111.16,111.18,0.00
21.05.1998,00:00,112.09,112.50,110.87,112.41,5720300,0,111.17,111.97,1.00
22.05.1998,00:00,112.38,112.78,111.31,111.69,6301500,0,111.57,112.04,1.00
23.05.1998,00:00,111.75,112.06,110.94,111.25,4862200,0,111.80,111.50,0.00
27.05.1998,00:00,112.09,112.09,109.19,109.47,6899300,0,111.65,110.71,-1.00
28.05.1998,00:00,109.53,109.91,107.58,109.63,10181400,0,111.18,109.16,-1.00
29.05.1998,00:00,109.88,110.38,108.73,110.13,4907600,0,110.17,109.78,-1.00
30.05.1998,00:00,110.63,110.81,109.03,109.03,4772600,0,109.98,109.88,-1.00
2.06.1998,00:00,108.97,110.22,108.56,109.53,6092200,0,109.93,109.32,-1.00
3.06.1998,00:00,110.00,110.34,109.16,109.63,6701100,0,109.62,109.78,0.00
4.06.1998,00:00,109.88,110.19,107.88,107.88,6444200,0,109.70,108.96,-1.00
5.06.1998,00:00,108.25,110.06,108.06,109.88,6566300,0,109.33,109.06,-1.00
6.06.1998,00:00,110.38,112.00,109.88,112.00,8459300,0,109.20,111.07,0.00
9.06.1998,00:00,111.94,112.47,111.66,111.88,4159900,0,110.13,111.99,1.00
10.06.1998,00:00,111.72,112.42,111.41,112.13,2700800,0,111.06,111.92,1.00
11.06.1998,00:00,111.63,113.06,111.25,111.50,6186900,0,111.49,111.86,1.00
12.06.1998,00:00,111.44,111.88,109.28,109.52,7981500,0,111.67,110.53,0.00
13.06.1998,00:00,109.88,110.44,108.25,110.16,9722400,0,111.10,109.68,-1.00
16.06.1998,00:00,108.81,109.91,107.50,107.72,10059300,0,110.39,108.49,-1.00
17.06.1998,00:00,108.41,109.22,107.75,109.13,7452500,0,109.44,108.63,-1.00
18.06.1998,00:00,110.16,111.78,109.94,111.38,12037400,0,109.03,110.82,1.00
19.06.1998,00:00,111.19,111.44,110.75,111.08,3819300,0,109.92,111.11,1.00
20.06.1998,00:00,111.06,111.23,109.63,110.08,3478900,0,110.52,110.50,0.00
23.06.1998,00:00,110.25,111.06,110.06,110.38,5411100,0,110.51,110.44,-1.00
24.06.1998,00:00,111.09,112.19,111.00,111.94,4956100,0,110.47,111.56,1.00
25.06.1998,00:00,112.16,113.69,111.61,113.56,8246400,0,111.01,112.76,1.00
26.06.1998,00:00,113.91,114.47,112.81,113.03,5800900,0,111.88,113.56,1.00
27.06.1998,00:00,113.31,113.84,113.13,113.38,4787600,0,112.72,113.42,1.00
30.06.1998,00:00,114.25,114.69,113.80,113.84,5920500,0,113.07,114.15,1.00
1.07.1998,00:00,113.91,114.19,113.06,113.31,4225700,0,113.61,113.62,1.00
2.07.1998,00:00,114.06,114.91,113.63,114.84,3348600,0,113.61,114.36,1.00
3.07.1998,00:00,114.72,114.88,114.25,114.72,3508600,0,113.99,114.64,1.00
7.07.1998,00:00,114.78,115.88,114.56,115.88,3090600,0,114.31,115.28,1.00
8.07.1998,00:00,115.98,116.13,115.28,115.66,4859500,0,114.79,115.76,1.00
9.07.1998,00:00,115.88,116.94,115.75,116.75,6783300,0,115.28,116.33,1.00
10.07.1998,00:00,116.28,116.72,115.63,115.81,6913300,0,115.80,116.11,1.00
11.07.1998,00:00,116.03,116.91,115.06,116.38,7792100,0,115.96,116.10,1.00
14.07.1998,00:00,116.56,116.84,116.06,116.50,6555100,0,116.03,116.49,1.00
15.07.1998,00:00,116.94,118.16,116.94,117.81,6931400,0,116.26,117.46,1.00
16.07.1998,00:00,118.06,118.28,117.53,117.61,4926400,0,116.86,117.87,1.00
17.07.1998,00:00,117.69,118.59,117.06,118.53,6279200,0,117.37,117.97,1.00
18.07.1998,00:00,118.63,119.00,118.31,118.69,3509600,0,117.67,118.66,1.00
21.07.1998,00:00,118.75,119.23,117.94,118.41,2266400,0,118.16,118.58,1.00
22.07.1998,00:00,119.00,119.00,116.28,116.63,5282400,0,118.37,117.73,0.00
23.07.1998,00:00,116.34,116.97,115.53,116.56,10395900,0,118.05,116.35,-1.00
24.07.1998,00:00,116.31,116.59,113.91,114.19,15110900,0,117.20,115.25,-1.00
25.07.1998,00:00,114.97,115.09,112.88,114.09,11539600,0,116.22,114.26,-1.00
28.07.1998,00:00,113.63,115.00,112.84,114.91,9600000,0,115.24,114.10,-1.00
29.07.1998,00:00,114.44,114.66,111.88,112.97,13693000,0,114.67,113.49,-1.00
30.07.1998,00:00,113.72,114.13,112.25,112.53,7462400,0,114.08,113.16,-1.00
31.07.1998,00:00,113.63,114.59,113.41,114.22,6821600,0,113.62,113.96,0.00
1.08.1998,00:00,114.34,114.50,111.31,111.78,7680500,0,113.79,112.98,-1.00
4.08.1998,00:00,111.78,112.41,111.03,111.31,10486500,0,113.39,111.63,-1.00
5.08.1998,00:00,112.22,112.22,107.00,107.00,15090600,0,112.51,109.61,-1.00
6.08.1998,00:00,107.94,108.88,105.59,108.47,21718000,0,111.06,107.72,-1.00
7.08.1998,00:00,108.13,109.50,107.56,108.94,13084400,0,109.39,108.53,-1.00
8.08.1998,00:00,109.69,110.59,108.47,109.13,12083800,0,108.96,109.47,0.00
11.08.1998,00:00,108.75,109.66,108.19,108.50,6272600,0,109.22,108.78,-1.00
12.08.1998,00:00,106.78,107.44,105.50,106.88,14287100,0,109.00,106.65,-1.00
13.08.1998,00:00,107.75,108.88,107.50,108.69,11158400,0,107.82,108.21,0.00
14.08.1998,00:00,108.81,109.66,107.38,107.38,9073900,0,108.01,108.31,0.00
15.08.1998,00:00,108.34,108.72,105.78,106.13,8629000,0,108.16,107.24,-1.00
18.08.1998,00:00,106.00,108.94,105.50,108.38,11290000,0,107.70,107.21,-1.00
19.08.1998,00:00,109.00,110.59,108.78,110.38,7603900,0,107.45,109.69,1.00
20.08.1998,00:00,111.09,111.09,109.63,110.09,6258600,0,108.57,110.47,1.00
21.08.1998,00:00,109.69,110.41,109.16,109.44,7402800,0,109.52,109.68,1.00
22.08.1998,00:00,108.19,108.72,105.50,108.56,16685400,0,109.60,107.74,0.00
25.08.1998,00:00,109.25,109.94,108.31,109.25,7184100,0,108.67,109.19,1.00
26.08.1998,00:00,110.38,111.25,108.63,109.50,9688300,0,108.93,109.94,1.00
27.08.1998,00:00,108.28,109.63,107.75,108.88,9339700,0,109.43,108.64,0.00
28.08.1998,00:00,107.00,107.84,103.47,103.75,24887008,0,109.03,105.52,-1.00
29.08.1998,00:00,104.97,105.72,102.16,103.38,23735008,0,107.27,104.06,-1.00
1.09.1998,00:00,103.75,104.03,95.00,95.69,22563008,0,105.67,99.62,-1.00
2.09.1998,00:00,96.06,100.56,93.63,100.06,24748000,0,102.64,97.58,-1.00
3.09.1998,00:00,99.81,101.75,98.78,99.34,13843200,0,100.11,99.92,-1.00
4.09.1998,00:00,97.63,99.38,96.69,98.56,17311008,0,100.01,98.06,-1.00
5.09.1998,00:00,99.44,99.81,95.75,97.75,17783008,0,99.04,98.19,-1.00
9.09.1998,00:00,100.88,103.00,99.81,103.00,14746500,0,98.61,101.67,0.00
10.09.1998,00:00,102.75,103.13,100.44,100.69,12108700,0,100.14,101.75,0.00
11.09.1998,00:00,98.44,99.34,96.81,97.25,19888992,0,100.95,97.96,-1.00
12.09.1998,00:00,98.19,101.69,97.00,101.69,20379008,0,99.45,99.64,0.00
15.09.1998,00:00,102.88,104.44,102.09,103.44,10686800,0,99.55,103.21,1.00
16.09.1998,00:00,102.88,104.31,102.28,104.06,8325300,0,101.38,103.38,1.00
17.09.1998,00:00,104.75,105.25,103.15,105.00,11024900,0,102.38,104.54,1.00
18.09.1998,00:00,102.25,103.03,101.78,102.00,12945200,0,103.46,102.27,-1.00
19.09.1998,00:00,102.38,102.41,101.09,102.09,7019200,0,102.86,101.99,0.00
22.09.1998,00:00,99.63,103.41,98.94,102.03,8834600,0,102.43,101.00,0.00
23.09.1998,00:00,103.50,103.66,102.16,102.88,7270100,0,101.71,103.05,1.00
24.09.1998,00:00,103.88,107.00,103.78,107.00,13688500,0,102.38,105.42,1.00
25.09.1998,00:00,106.31,106.81,103.25,104.38,11129500,0,103.90,105.19,1.00
